Order No.;Part No.;Op. No. : Number;Operation Name;Resource;Setup Start;Start Time;End Time
9085048-002;17D7CC51042741189A6EEB3395B540A5;1280;$ REPRISE ENROBAGE;Indéfini;Indéfini;Indéfini;Indéfini
9085048-002;17D7CC51042741189A6EEB3395B540A5;1290;$ REPRISE VERNIS;Indéfini;Indéfini;Indéfini;Indéfini
9085048-002;17D7CC51042741189A6EEB3395B540A5;1310;TEST HERMETICITE;Indéfini;Indéfini;Indéfini;Indéfini
9085048-002;17D7CC51042741189A6EEB3395B540A5;1410;TEST FONCTIONNEL;Indéfini;Indéfini;Indéfini;Indéfini
9085048-002;17D7CC51042741189A6EEB3395B540A5;1520;CT SOUS ENSEMBLE;Indéfini;Indéfini;Indéfini;Indéfini
9085048-002;17D7CC51042741189A6EEB3395B540A5;1720;STOCKAGE ILOT;Indéfini;Indéfini;Indéfini;Indéfini
